StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
Pennsylvania,Scranton,12.4,10.8,15.0
Texas,Midland,9.0,8.5,9.7
Oklahoma,Oklahoma City,9.1,8.6,9.6
Connecticut,New Haven,11.2,11.1,11.3
Utah,West Valley City,9.5,9.0,10.2
Oklahoma,Tulsa,9.6,9.0,10.3
California,Carson,9.2,8.8,9.9
Utah,St. George,8.4,8.0,9.0
Utah,Orem,,,
Oregon,Beaverton,10.0,9.3,10.9
California,Santa Rosa,8.5,8.0,9.1
California,Santa Ana,7.0,6.3,8.2
Texas,Houston,10.1,9.6,10.6
Texas,El Paso,7.8,7.4,8.4
Arizona,Scottsdale,8.7,8.3,9.3
Florida,Miami Beach,6.2,5.9,6.5
Texas,Houston,7.9,7.6,8.4
Wisconsin,Milwaukee,8.2,7.7,8.9
New York,New York,8.6,8.2,9.1
Ohio,Akron,12.8,12.0,13.8
Nebraska,Omaha,9.6,9.2,10.1
Texas,Houston,11.7,10.9,12.6
Tennessee,Nashville,10.4,10.3,10.4
California,Menifee,8.5,8.0,9.1
California,San Ramon,7.7,7.2,8.3
Florida,St. Petersburg,8.1,7.5,8.8
Missouri,Springfield,8.8,8.4,9.3
Texas,Brownsville,9.6,8.5,10.7
Texas,San Antonio,7.8,7.5,8.2
Texas,Fort Worth,10.1,9.4,10.7
Arizona,Avondale,9.4,8.8,9.9
Nevada,Henderson,,,
Maryland,Baltimore,12.8,11.8,13.8
Connecticut,Bridgeport,11.4,10.7,12.1
New York,New York,9.0,8.5,9.6
California,Santa Ana,10.0,9.0,10.8
Illinois,Chicago,7.8,7.3,8.5
California,Long Beach,10.2,9.4,11.1
Texas,El Paso,8.1,7.6,8.8
Washington,Kennewick,9.6,9.1,10.2
Oregon,Beaverton,9.6,9.4,9.7
California,West Covina,6.4,5.8,7.7
New York,New York,10.8,10.1,11.4
New York,New York,9.1,8.5,9.7
New Mexico,Rio Rancho,9.7,9.3,10.2
Oklahoma,Oklahoma City,8.7,8.3,9.2
New York,New York,8.4,7.9,9.0
Texas,Waco,9.2,8.7,9.8
Illinois,Chicago,11.1,10.2,12.0
South Carolin,Columbia,8.6,8.2,9.0
California,Los Angeles,8.7,8.2,9.1
North Carolin,Gastonia,9.4,9.2,9.5
Ohio,Columbus,8.5,8.0,9.1
Louisiana,Lake Charles,10.0,9.4,10.6
California,Salinas,8.2,7.5,9.0
Texas,Laredo,7.8,7.1,8.7
California,Oceanside,8.9,8.4,9.5
Texas,San Antonio,7.8,7.4,8.3
California,Chula Vista,7.1,6.7,7.6
Colorado,Denver,7.7,7.3,8.2
South Carolin,Columbia,11.0,10.2,11.9
California,Santa Barbara,8.1,7.7,8.6
Florida,Largo,7.1,6.6,7.6
Washington,Kent,11.0,10.6,11.5
California,Fremont,7.6,7.3,8.0
Michigan,Warren,10.0,9.6,10.6
Oklahoma,Oklahoma City,8.7,8.3,9.2
New Mexico,Albuquerque,9.1,8.6,9.7
Georgia,Columbus,7.8,7.6,8.1
Arizona,Phoenix,9.9,9.5,10.4
Florida,Jacksonville,6.7,6.5,7.0
California,Riverside,9.9,9.2,10.6
New York,New York,,,
New York,Buffalo,13.2,12.4,14.1
California,Napa,8.7,8.3,9.3
Iowa,Waterloo,7.8,7.4,8.4
Maryland,Baltimore,14.2,13.2,15.4
Kentucky,Lexington,11.2,10.5,12.2
Nevada,Las Vegas,8.5,8.0,9.1
California,San Jose,,,
Oregon,Bend,9.6,9.0,10.4
Oklahoma,Edmond,8.4,7.9,9.0
Arkansas,Fayetteville,9.6,9.0,10.3
Georgia,Atlanta,12.6,11.6,13.7
Virginia,Roanoke,7.8,7.3,8.4
Illinois,Decatur,11.1,10.3,12.0
Nevada,Las Vegas,9.1,8.5,9.7
California,Los Angeles,8.3,7.6,9.0
Colorado,Fort Collins,8.0,7.6,8.5
California,San Jose,7.7,7.3,8.0
Georgia,Augusta,10.8,10.1,11.6
Kentucky,Louisville,10.1,9.7,10.6
California,Garden Grove,9.0,8.4,9.7
Utah,Orem,8.7,8.2,9.5
Oklahoma,Tulsa,10.5,9.8,11.4
Arizona,Scottsdale,8.6,8.2,9.1
Indiana,Indianapolis,9.5,9.0,10.1
Ohio,Columbus,9.6,9.0,10.3
Arizona,Tucson,10.6,10.2,11.2
Hawaii,Honolulu,9.4,9.1,9.8
Ohio,Columbus,11.3,10.5,12.2
Texas,Houston,8.3,7.8,8.9
California,Los Angeles,7.7,7.2,8.2
Michigan,Livonia,9.6,9.1,10.4
Arizona,Phoenix,9.1,8.6,9.7
Texas,Austin,7.3,7.0,7.9
New York,New York,9.8,9.5,10.2
Montana,Missoula,9.4,8.9,10.1
Oklahoma,Oklahoma City,11.2,10.5,12.0
Illinois,Cicero,10.0,9.0,11.0
New York,New York,9.2,8.7,9.8
New York,New York,9.1,8.6,9.6
District of C,Washington,10.0,9.4,10.8
Ohio,Cincinnati,7.9,7.5,8.4
Louisiana,Lafayette,9.1,9.0,9.2
North Carolin,Charlotte,8.2,7.9,8.7
Washington,Vancouver,10.2,10.1,10.3
Illinois,Arlington Heights,8.1,7.7,8.7
Massachusetts,New Bedford,14.0,13.1,14.9
California,Lake Forest,8.0,7.5,8.5
Florida,Hollywood,8.1,7.7,8.5
California,Temecula,7.9,7.5,8.3
Pennsylvania,Pittsburgh,12.9,12.2,13.8
California,San Diego,7.4,7.2,7.8
California,Fresno,8.8,8.3,9.4
Nebraska,Omaha,8.4,7.9,9.0
Ohio,Columbus,9.4,8.9,10.1
New Jersey,Union City,8.6,7.8,9.3
California,Bakersfield,10.6,9.9,11.3
California,Fremont,7.2,7.1,7.3
Hawaii,Honolulu,9.5,9.2,9.9
District of C,Washington,9.8,9.1,11.0
Georgia,Columbus,8.9,8.0,9.8
Arizona,Tucson,11.6,10.9,12.4
Virginia,Virginia Beach,8.7,8.3,9.1
Minnesota,Minneapolis,7.0,6.6,7.6
Texas,Austin,9.1,8.4,9.8
South Dakota,Rapid City,8.0,7.6,8.5
California,San Bernardino,10.3,9.4,11.3
California,Los Angeles,8.6,7.8,9.5
Texas,Round Rock,8.3,7.9,8.9
North Carolin,Winston-Salem,10.7,10.1,11.2
Wisconsin,Racine,10.5,9.9,11.1
Georgia,Atlanta,7.8,7.3,8.5
Texas,Lubbock,12.0,11.2,13.0
Oregon,Hillsboro,9.7,9.0,10.5
Oklahoma,Edmond,11.3,10.4,12.8
Wisconsin,Milwaukee,11.2,10.3,12.1
Louisiana,Baton Rouge,8.6,8.2,9.2
Kansas,Lawrence,9.3,8.8,10.1
California,Santa Clarita,,,
South Dakota,Sioux Falls,8.8,8.2,9.5
California,Moreno Valley,9.8,9.1,10.6
Tennessee,Knoxville,14.1,13.2,15.2
California,Chula Vista,8.8,8.0,9.7
Pennsylvania,Philadelphia,11.1,10.3,11.8
Texas,Beaumont,9.7,9.3,10.1
California,Santa Clara,7.3,7.0,7.6
Louisiana,Shreveport,7.6,7.1,8.3
Arizona,Tucson,11.7,11.0,12.5
Florida,Davie,7.0,6.6,7.6
New York,New York,11.5,10.9,12.3
Arizona,Mesa,9.5,8.9,10.2
Georgia,Sandy Springs,6.8,6.4,7.2
New York,New York,13.2,12.3,14.3
Wisconsin,Milwaukee,10.4,9.7,11.2
Colorado,Westminster,9.0,8.5,9.7
Illinois,Chicago,8.5,8.0,9.0
Texas,Grand Prairie,9.0,8.9,9.1
Nevada,Las Vegas,10.0,9.3,10.8
California,Los Angeles,7.9,7.2,8.6
Michigan,Sterling Heights,10.2,9.5,11.0
California,Santa Maria,9.9,9.1,10.8
Illinois,Chicago,9.2,8.5,9.9
Arizona,Chandler,10.3,9.7,11.1
Michigan,Detroit,15.6,14.3,17.0
New York,New York,12.3,11.4,13.3
New York,New York,9.7,9.3,10.2
California,Long Beach,11.3,10.7,12.0
Tennessee,Clarksville,9.3,8.8,10.0
Oklahoma,Tulsa,11.2,10.6,12.0
Texas,Houston,9.5,8.8,10.1
Colorado,Colorado Springs,9.3,8.8,9.9
California,San Diego,7.3,7.0,7.7
California,Moreno Valley,8.5,8.0,8.9
Texas,Houston,8.5,8.1,9.0
Wisconsin,Milwaukee,9.3,8.8,9.9
Texas,El Paso,8.9,8.0,9.7
North Dakota,Fargo,9.5,9.1,10.2
Michigan,Southfield,11.0,10.4,11.8
Kentucky,Lexington,9.8,9.3,10.5
Oregon,Salem,9.6,9.0,10.4
Nebraska,Omaha,7.2,6.9,7.7
Florida,Lauderhill,11.4,10.4,12.6
California,El Monte,7.5,7.1,8.1
California,Pasadena,6.8,6.5,7.1
Ohio,Toledo,13.8,13.0,14.8
California,Westminster,8.5,8.0,9.1
Indiana,South Bend,9.1,8.6,9.7
Virginia,Alexandria,7.1,6.7,7.6
California,Glendale,8.3,7.7,9.0
California,Citrus Heights,10.0,9.4,10.7
California,Napa,8.9,8.7,9.0
Georgia,Atlanta,8.4,7.9,9.1
West Virginia,Charleston,10.0,9.5,10.8
New York,New York,10.6,9.8,11.3
California,Modesto,10.7,10.1,11.4
Florida,Lauderhill,11.0,10.0,12.0
Pennsylvania,Pittsburgh,11.9,11.2,12.7
Illinois,Aurora,8.1,7.7,8.7
California,Los Angeles,8.4,8.0,9.0
California,Rancho Cucamonga,8.1,7.8,8.5
California,San Francisco,9.1,8.6,9.7
Massachusetts,Boston,14.6,13.6,15.8
Wisconsin,Appleton,9.0,8.4,9.6
Minnesota,St. Paul,9.2,8.7,9.8
Texas,Dallas,12.0,11.0,13.3
Texas,Carrollton,8.2,7.7,8.7
Nebraska,Omaha,9.8,9.1,10.5
New York,New York,10.7,10.0,11.5
Tennessee,Nashville,8.5,8.0,9.2
Illinois,Chicago,8.9,8.3,9.5
Texas,Frisco,7.4,7.0,7.9
New Jersey,Trenton,12.4,11.6,13.3
Pennsylvania,Philadelphia,12.8,12.0,13.7
California,Riverside,8.5,8.1,8.9
New York,New York,10.6,9.8,11.5
California,Santa Clarita,8.3,7.9,8.9
Texas,Fort Worth,9.1,8.7,9.6
New Jersey,Paterson,9.8,9.0,10.7
Pennsylvania,Allentown,10.4,9.8,11.1
California,Simi Valley,8.1,7.8,8.6
Massachusetts,Springfield,14.6,13.7,15.6
Texas,League City,7.8,7.4,8.3
Michigan,Detroit,11.7,10.9,12.7
Texas,Austin,8.0,7.5,8.6
Indiana,Carmel,9.0,8.5,9.8
New York,New York,12.2,11.6,12.9
Indiana,Evansville,10.3,9.7,11.1
Nevada,Sparks,8.4,7.9,9.0
Colorado,Aurora,7.8,7.3,8.4
Louisiana,Lafayette,9.0,8.4,9.7
Indiana,Fort Wayne,10.8,10.1,11.7
California,West Covina,7.6,7.2,8.2
Wisconsin,Madison,11.4,10.1,13.4
Wisconsin,Milwaukee,9.8,9.1,10.6
Florida,Tampa,8.7,8.2,9.2
New Jersey,Newark,11.6,10.8,12.7
Illinois,Peoria,9.0,8.5,9.6
Virginia,Virginia Beach,8.5,8.1,8.9
Kentucky,Louisville,15.1,14.2,16.2
Ohio,Columbus,11.2,10.5,12.0
Texas,Lubbock,8.7,8.3,9.3
California,Clovis,10.1,9.6,10.8
Oregon,Salem,11.9,11.0,13.1
Texas,San Antonio,7.6,7.3,8.0
Illinois,Waukegan,10.5,9.7,11.4
Texas,San Antonio,8.0,7.5,8.5
Florida,Miami,7.8,7.4,8.1
Nevada,Las Vegas,9.1,8.5,9.8
California,Visalia,10.9,10.4,11.5
Washington,Kent,9.6,9.2,10.0
Oregon,Hillsboro,,,
Kansas,Overland Park,8.3,8.3,8.4
Colorado,Arvada,,,
Nevada,Sparks,8.2,7.8,8.8
Washington,Tacoma,10.6,10.0,11.2
Arizona,Phoenix,9.8,9.4,10.3
Washington,Seattle,8.8,8.4,9.4
California,Lake Forest,7.5,7.1,7.9
California,Richmond,7.6,7.3,8.0
Texas,El Paso,9.9,9.2,10.7
California,Glendale,9.0,8.4,9.7
Tennessee,Memphis,13.3,12.4,14.3
Illinois,Chicago,10.2,9.7,10.6
Arizona,Phoenix,10.8,9.9,11.7
Ohio,Youngstown,13.0,12.1,14.0
Illinois,Chicago,9.3,8.5,10.2
Oregon,Beaverton,8.9,8.4,9.7
Wisconsin,Milwaukee,14.7,13.6,16.1
California,San Bernardino,12.0,11.0,13.1
Texas,Houston,7.8,7.4,8.3
California,Fresno,9.1,8.7,9.5
California,Los Angeles,7.4,6.9,7.9
Texas,Denton,9.0,8.3,10.0
New York,Buffalo,15.0,14.2,16.0
Kansas,Topeka,9.9,9.5,10.6
California,Rancho Cucamonga,8.5,8.1,9.0
Indiana,Indianapolis,10.0,9.5,10.6
Florida,St. Petersburg,10.9,10.2,11.6
Texas,Fort Worth,8.3,7.8,9.0
New York,New York,9.9,9.3,10.6
Arizona,Phoenix,11.6,10.8,12.5
Washington,Federal Way,10.5,9.9,11.1
Wisconsin,Madison,11.8,10.5,13.3
California,Sacramento,10.7,10.1,11.5
Florida,Tampa,9.1,8.5,9.7
Arizona,Yuma,12.0,10.9,13.3
California,Los Angeles,7.0,6.6,7.4
Alabama,Mobile,8.1,7.7,8.7
New York,New York,9.6,8.9,10.4
California,Elk Grove,9.6,9.2,10.1
Tennessee,Chattanooga,9.7,9.1,10.5
California,Sunnyvale,6.9,6.5,7.4
Florida,Tampa,7.1,6.7,7.5
Washington,Seattle,8.4,8.0,9.0
New York,New York,10.1,9.4,11.0
California,San Francisco,10.4,9.8,11.1
California,Los Angeles,8.6,7.9,9.4
Nevada,North Las Vegas,8.9,8.5,9.4
New York,Schenectady,12.8,12.1,13.7
New Jersey,Jersey City,12.2,11.5,13.0
California,San Jose,8.8,8.3,9.4
California,San Diego,,,
Oklahoma,Oklahoma City,9.3,8.8,9.8
Michigan,Farmington Hills,9.1,8.8,9.5
California,West Covina,7.5,7.0,7.9
California,Oakland,8.9,8.5,9.3
Kansas,Wichita,10.7,10.0,11.7
Texas,Killeen,,,
California,Irvine,6.9,6.6,7.3
Illinois,Chicago,12.4,11.4,13.6
Florida,Melbourne,,,
New York,New York,12.4,11.8,13.2
New York,New York,10.1,9.5,10.9
North Carolin,Raleigh,8.2,7.8,8.7
Texas,Houston,9.3,8.5,10.1
California,Huntington Beach,8.4,7.9,9.0
Illinois,Bloomington,8.9,8.4,9.4
Oklahoma,Norman,10.6,9.8,11.7
New York,New York,11.6,10.9,12.2
Louisiana,New Orleans,11.6,10.6,12.6
Texas,Houston,7.5,7.2,7.9
North Carolin,Winston-Salem,8.4,8.0,8.8
North Carolin,Winston-Salem,8.3,7.8,8.9
California,Antioch,9.5,9.0,10.0
California,Irvine,7.8,7.4,8.3
New Jersey,Camden,13.3,12.3,14.4
Ohio,Canton,10.4,9.9,11.1
California,Santa Clarita,8.0,7.5,8.5
Texas,Carrollton,8.3,7.8,9.0
Illinois,Peoria,11.2,10.4,12.3
Michigan,Flint,11.1,10.6,11.6
Iowa,Davenport,8.6,8.5,8.7
Ohio,Columbus,8.1,7.7,8.9
Florida,Orlando,11.1,10.3,12.1
Florida,Tampa,9.5,8.8,10.3
Montana,Missoula,10.0,9.3,11.0
Texas,El Paso,7.5,7.0,8.0
South Dakota,Sioux Falls,8.7,8.2,9.3
Utah,Orem,9.3,8.7,10.1
Indiana,Fishers,8.7,8.4,9.1
Texas,Houston,7.8,7.2,8.5
California,Irvine,6.6,6.4,6.9
Texas,San Antonio,7.7,7.4,8.1
Missouri,St. Louis,13.3,12.5,14.4
California,Union City,8.5,7.9,9.2
Oregon,Portland,10.2,9.6,10.9
Kentucky,Louisville,10.0,9.4,10.6
California,San Francisco,8.0,7.5,8.6
Arizona,Tucson,11.3,10.6,12.0
Virginia,Norfolk,10.7,10.1,11.6
California,Fremont,7.7,7.4,8.1
New York,New York,9.3,8.9,9.8
Indiana,Indianapolis,9.7,9.2,10.4
California,Fresno,7.7,7.3,8.4
Connecticut,Stamford,10.4,9.6,11.1
Florida,Tampa,11.2,10.3,12.2
Michigan,Flint,13.1,12.2,14.1
Maryland,Baltimore,15.8,14.8,16.9
Texas,San Antonio,7.4,7.0,7.8
California,Los Angeles,7.8,7.4,8.3
California,Glendale,9.6,9.0,10.3
Pennsylvania,Philadelphia,13.9,13.0,14.9
North Carolin,Charlotte,9.2,8.7,9.9
Texas,Fort Worth,12.3,11.5,13.2
New York,New York,10.8,10.2,11.6
Maryland,Baltimore,12.7,11.7,13.9
California,Los Angeles,8.2,7.8,8.6
California,San Francisco,7.2,6.9,7.6
Florida,Miramar,8.9,8.4,9.5
Kansas,Kansas City,12.3,11.6,13.2
Texas,Houston,8.4,7.9,9.0
California,Modesto,9.0,8.5,9.5
California,Oakland,9.6,9.1,10.1
Massachusetts,Boston,12.6,11.2,14.2
South Carolin,Columbia,8.5,7.9,9.1
Texas,Houston,8.2,7.8,8.7
Missouri,Lee's Summit,9.2,8.6,9.8
New York,New York,10.5,9.8,11.4
Oklahoma,Tulsa,10.6,10.1,11.1
Michigan,Detroit,15.0,13.8,16.3
New York,New York,10.5,10.0,11.0
Illinois,Peoria,12.9,12.2,13.7
Pennsylvania,Philadelphia,9.1,8.7,9.6
District of C,Washington,9.2,8.7,9.8
Montana,Billings,9.6,9.0,10.4
Texas,Fort Worth,8.4,7.9,9.0
Illinois,Chicago,13.5,12.4,14.8
New York,New York,9.4,8.7,10.1
California,Salinas,8.5,7.9,9.1
New York,New York,12.5,11.7,13.5
Illinois,Chicago,7.9,7.4,8.4
Tennessee,Murfreesboro,9.6,9.0,10.5
California,Fresno,11.5,10.8,12.2
California,El Monte,7.9,7.3,8.5
California,Sacramento,9.6,9.1,10.0
Pennsylvania,Philadelphia,11.8,11.3,12.4
Florida,Tampa,6.8,6.4,7.2
Colorado,Boulder,8.2,7.6,8.9
Pennsylvania,Erie,11.2,11.1,11.4
Alabama,Birmingham,,,
Colorado,Greeley,,,
New York,New York,13.0,12.1,13.9
Texas,Mission,9.1,8.4,9.9
Colorado,Thornton,8.9,8.2,9.9
North Carolin,Concord,8.9,8.4,9.5
California,San Jose,7.6,7.2,8.0
Iowa,Des Moines,7.5,7.0,8.1
California,Daly City,7.5,7.1,7.9
Florida,Lakeland,9.2,8.4,10.1
Nevada,Sparks,9.4,8.8,10.0
Wisconsin,Milwaukee,9.2,8.5,10.2
Washington,Auburn,10.6,9.7,11.8
New Jersey,Newark,12.4,11.5,13.6
Florida,Davie,7.9,7.4,8.5
Nebraska,Lincoln,8.0,7.5,8.6
Utah,Salt Lake City,8.9,8.3,9.6
District of C,Washington,12.5,11.7,13.6
California,Palmdale,9.2,8.7,9.8
California,Los Angeles,8.3,8.0,8.7
Iowa,Cedar Rapids,7.1,6.7,7.6
Arizona,Phoenix,10.4,9.8,11.1
Ohio,Canton,,,
Arizona,Phoenix,11.0,10.4,11.7
New York,New York,12.6,11.8,13.6
Colorado,Centennial,8.3,7.8,8.8
Florida,Miami Beach,6.4,6.3,6.5
North Carolin,Concord,10.7,10.1,11.5
Mississippi,Gulfport,9.8,9.3,10.5
California,San Diego,9.2,8.4,10.1
New York,New York,11.0,10.2,11.7
Massachusetts,Newton,9.3,8.9,9.8
California,Los Angeles,8.1,7.6,8.6
Iowa,Des Moines,9.7,9.2,10.2
Nevada,Reno,10.4,9.8,11.0
New York,New York,9.6,9.2,10.0
Maryland,Baltimore,9.6,9.1,10.2
New York,New York,7.7,7.4,8.0
Georgia,Atlanta,10.8,10.0,11.7
Ohio,Cleveland,10.6,10.0,11.4
Florida,Jacksonville,8.6,8.2,9.2
Indiana,Gary,14.3,13.3,15.7
California,Redondo Beach,7.3,6.9,7.7
New York,New York,12.3,11.7,12.9
California,Alhambra,6.7,6.3,7.1
District of C,Washington,11.4,10.6,12.3
Michigan,Rochester Hills,9.3,8.8,10.0
Utah,Salt Lake City,8.3,7.9,8.8
New York,New York,11.6,10.8,12.5
Nebraska,Omaha,8.2,7.7,8.7
Texas,Carrollton,9.1,8.4,9.8
California,Bakersfield,10.5,9.9,11.1
Georgia,Warner Robins,8.3,7.9,8.8
North Carolin,Fayetteville,9.0,8.8,9.3
Kansas,Kansas City,11.3,10.7,12.1
California,Visalia,9.2,9.1,9.4
Delaware,Wilmington,13.6,12.6,14.9
Pennsylvania,Bethlehem,9.1,8.7,9.7
California,Hesperia,,,
Oklahoma,Edmond,8.6,8.1,9.2
Texas,McKinney,,,
Illinois,Chicago,8.6,8.0,9.3
Minnesota,St. Paul,8.1,7.7,8.7
Indiana,Carmel,8.7,8.6,8.9
Ohio,Cleveland,13.7,12.7,14.9
Rhode Island,Warwick,11.5,10.6,12.5
Texas,Richardson,8.1,7.6,8.8
Texas,Houston,6.9,6.6,7.4
Louisiana,New Orleans,9.3,9.3,9.4
New York,New York,12.8,12.0,13.8
Wisconsin,Waukesha,8.9,8.3,9.6
Texas,Dallas,10.3,9.6,11.1
Georgia,Augusta,8.3,7.9,8.8
Arizona,Mesa,10.0,9.4,10.8
New York,New York,9.6,9.2,10.2
Missouri,Springfield,10.1,9.5,11.1
Arizona,Phoenix,10.4,9.7,11.0
Texas,Plano,7.6,7.2,8.1
Montana,Missoula,9.6,8.7,10.5
Georgia,Warner Robins,8.9,8.6,9.4
Minnesota,Duluth,10.3,9.7,11.2
Texas,San Antonio,8.5,8.1,9.0
New York,New York,11.6,11.0,12.1
Arizona,Phoenix,10.4,9.8,11.2
California,Los Angeles,9.6,8.6,10.5
California,Los Angeles,8.6,7.9,9.2
Minnesota,Bloomington,7.4,7.0,7.9
Texas,Corpus Christi,9.2,8.7,9.7
New York,New York,10.4,9.9,10.9
Florida,Fort Lauderdale,6.2,5.8,6.6
Texas,San Antonio,,,
California,Garden Grove,7.7,7.4,8.1
Wisconsin,Milwaukee,9.4,8.7,10.1
Alabama,Mobile,9.1,8.5,9.7
Louisiana,New Orleans,11.2,10.2,12.5
New York,New York,10.4,9.5,11.4
Ohio,Columbus,8.0,7.7,8.4
Colorado,Fort Collins,9.8,9.1,10.7
New York,New York,9.7,9.0,10.4
Rhode Island,Warwick,12.1,11.3,13.0
California,Riverside,9.2,8.7,9.8
New York,New York,8.0,7.7,8.5
Ohio,Akron,12.7,12.1,13.5
Wisconsin,Milwaukee,11.2,10.4,12.1
California,Elk Grove,8.7,8.2,9.3
Nevada,Las Vegas,8.7,8.6,8.7
Massachusetts,Springfield,13.4,12.6,14.2
California,Los Angeles,10.6,10.1,11.2
Florida,Jacksonville,10.2,9.7,10.8
Texas,McKinney,9.7,9.2,10.4
Florida,Miami,7.7,7.2,8.2
Texas,Austin,8.9,8.3,9.6
Wisconsin,Milwaukee,9.3,8.7,10.0
Florida,Jacksonville,7.4,6.9,8.0
New York,New York,11.9,11.1,12.9
Arizona,Tempe,11.2,10.5,11.9
Nevada,North Las Vegas,12.8,11.7,14.1
Louisiana,New Orleans,10.2,9.4,11.0
Arizona,Glendale,10.2,9.7,10.8
Texas,Lubbock,9.3,8.7,9.9
Tennessee,Knoxville,12.6,12.0,13.2
New York,New York,8.6,8.1,9.0
New York,New York,13.4,12.4,14.5
Colorado,Denver,8.9,8.4,9.4
North Carolin,Greensboro,7.6,7.2,8.2
New York,New York,12.8,12.0,13.9
Colorado,Greeley,8.6,8.1,9.2
Texas,Austin,9.2,8.5,10.0
Florida,Cape Coral,7.0,6.6,7.5
Tennessee,Memphis,13.6,12.4,14.8
California,Huntington Beach,7.8,7.2,8.4
California,San Francisco,8.1,7.6,8.7
California,Indio,9.2,8.4,10.0
North Carolin,Charlotte,10.7,10.0,11.5
Texas,Fort Worth,9.9,8.9,10.8
New York,New York,9.0,8.5,9.6
California,Los Angeles,7.5,7.0,8.1
Florida,Tampa,9.5,9.0,10.2
Arizona,Phoenix,11.1,10.5,11.8
Wisconsin,Milwaukee,13.3,12.3,14.5
Florida,Largo,7.5,7.0,8.2
Maryland,Baltimore,13.3,12.5,14.2
California,Chino Hills,7.5,7.1,7.8
Michigan,Warren,12.1,11.3,12.9
Oklahoma,Oklahoma City,10.3,9.8,10.9
Illinois,Chicago,7.8,7.5,8.3
Pennsylvania,Philadelphia,11.2,10.3,12.6
California,Oxnard,9.3,8.4,10.1
California,San Francisco,10.6,10.1,11.3
Texas,League City,8.1,8.0,8.2
Tennessee,Memphis,10.8,10.3,11.6
Michigan,Detroit,15.2,14.1,16.5
Texas,Fort Worth,8.4,8.1,8.8
California,Lakewood,8.2,7.7,8.6
Texas,Amarillo,8.2,7.7,8.7
Oregon,Hillsboro,,,
California,Oakland,9.7,9.3,10.1
Nevada,Las Vegas,7.8,7.4,8.1
Kentucky,Louisville,12.3,12.3,12.4
Pennsylvania,Philadelphia,14.1,13.1,15.4
Ohio,Cleveland,12.5,11.7,13.4
Colorado,Aurora,9.7,9.2,10.1
Texas,Houston,7.4,7.0,8.0
Minnesota,St. Paul,8.2,7.9,8.6
Arizona,Avondale,9.8,9.2,10.5
New York,Buffalo,14.0,13.2,14.9
California,Redding,9.9,9.3,10.6
California,Apple Valley,,,
Massachusetts,Boston,12.2,11.4,13.2
Pennsylvania,Philadelphia,9.9,9.3,10.6
California,Santa Clarita,7.8,7.4,8.3
Texas,Killeen,9.3,8.9,9.8
Pennsylvania,Philadelphia,9.3,8.8,10.1
New York,New York,8.4,7.9,9.0
Kentucky,Lexington,14.2,12.7,15.7
Arizona,Avondale,9.2,8.8,9.7
Utah,Sandy,8.2,7.7,8.8
Georgia,Albany,11.3,10.5,12.3
California,Fresno,10.5,9.9,11.0
Oklahoma,Tulsa,10.0,9.6,10.4
Michigan,Grand Rapids,10.0,9.0,11.7
Oregon,Eugene,9.7,9.2,10.4
California,Bakersfield,9.1,8.5,9.7
Illinois,Chicago,9.4,8.8,10.2
South Carolin,Columbia,10.2,9.7,10.7
Massachusetts,Springfield,14.7,13.4,15.9
New York,New York,9.7,9.1,10.3
New York,New York,11.5,10.9,12.2
California,San Jose,6.7,6.5,6.9
California,Visalia,9.3,8.7,10.0
Louisiana,New Orleans,12.3,11.4,13.3
New York,New York,8.6,8.1,9.2
Kentucky,Louisville,12.3,11.7,13.1
Indiana,Evansville,10.5,10.0,11.2
Alabama,Mobile,11.5,10.8,12.4
New York,New York,11.9,11.1,12.7
California,Vista,8.7,8.6,8.8
California,Los Angeles,8.7,8.1,9.4
Utah,Ogden,10.5,9.8,11.2
Utah,St. George,8.8,8.6,9.0
Colorado,Denver,8.5,7.8,9.5
New York,New York,10.1,9.5,10.8
California,Los Angeles,7.5,7.2,7.9
New York,New York,9.8,9.3,10.4
New York,New York,11.3,10.9,11.9
California,Sacramento,10.3,9.8,10.9
Washington,Yakima,11.1,9.8,12.5
Massachusetts,New Bedford,12.8,12.0,13.5
Virginia,Suffolk,9.0,8.6,9.5
Texas,Dallas,9.1,8.5,9.8
Nebraska,Lincoln,9.3,8.9,9.8
Oklahoma,Oklahoma City,9.8,9.4,10.3
California,Salinas,8.5,8.0,9.1
District of C,Washington,8.8,8.4,9.3
Utah,Sandy,8.3,7.8,8.9
Texas,Houston,8.7,8.0,9.5
Colorado,Lakewood,10.1,9.4,10.8
California,Santa Barbara,8.8,8.2,9.5
Texas,Arlington,8.8,8.5,9.3
New York,New York,12.4,11.6,13.5
California,Anaheim,7.3,7.0,7.7
North Carolin,Charlotte,9.1,8.6,9.6
California,Hawthorne,7.8,7.4,8.2
Alabama,Mobile,13.0,12.0,14.4
South Carolin,Columbia,10.6,9.8,11.5
Florida,St. Petersburg,8.1,7.7,8.7
Illinois,Chicago,12.7,11.7,14.0
Florida,Boynton Beach,8.3,7.8,8.9
Hawaii,Honolulu,9.3,8.7,10.0
New York,New York,8.7,8.4,9.2
Florida,Tampa,7.5,6.9,8.2
Georgia,Atlanta,7.0,6.7,7.4
Arizona,Tucson,12.1,11.4,12.8
California,Los Angeles,9.3,8.5,10.1
Michigan,Lansing,10.2,9.6,11.0
Massachusetts,Springfield,13.0,12.5,13.6
